Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$143,877 /yr (est.)",143877.0,Senior VFX Engineer,5,1,1,Activision, CA,3.2,0,44,1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),3.1,3.1,3.2,3.0,3.0,2023-06-03 22:49:55.190648,yr
"$96,263 /yr (est.)",96263.0,SharePoint Developer,0,1,0,EdgeWorks, VA,3.0,0,-1,-1,-1,-1,-1,-1,-1,2.0,2.0,4.0,2.0,5.0,2023-06-03 22:50:17.655672,yr
"$74,195 /yr (est.)",74195.0,SENIOR GRAPHIC DESIGNER,0,2,1,Brightery, NY,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,5.0,5.0,5.0,4.0,2023-06-03 22:50:21.021314,yr
"$88,446 /yr (est.)",88446.0,"Hearst Journalism Fellowship Program, Data Visualization Track",0,1,-1,Hearst Media Services, CA,3.7,0,136,10000+ Employees,1887,Company - Private,Publishing,Media & Communication,$10+ billion (USD),3.5,3.5,3.7,3.4,3.6,2023-06-03 22:50:24.252863,yr
"$78,571 /yr (est.)",78571.0,Courseware Programmer III,8,1,1,KATMAI, FL,3.5,0,16,1001 to 5000 Employees,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),3.4,3.5,3.8,3.7,3.9,2023-06-03 22:50:26.534525,yr
"$117,274 /yr (est.)",117274.0,Senior Digital Designer,7,1,0,Moncur, MI,3.2,0,31,1 to 50 Employees,1992,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.0,3.5,3.4,2.8,3.4,2023-06-03 22:50:28.807007,yr
"$40,732 /yr (est.)",40732.0,Associate Experiential Producer,2,1,0,Impact XM, NJ,3.4,0,50,201 to 500 Employees,1973,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.4,3.4,3.4,3.3,3.4,2023-06-03 22:50:31.214929,yr
"$67,831 /yr (est.)",67831.0,Instructional Systems Designer,6,1,1,Vertex Solutions, FL,3.6,0,27,51 to 200 Employees,1996,Company - Private,Aerospace & Defense,Aerospace & Defense,$5 to $25 million (USD),3.2,3.1,3.6,3.5,4.0,2023-06-03 22:50:33.847837,yr
"$5,073 /mo (est.)",60876.0,Data Processing Administrative Specialist Lead - UMP (Data Processing Administrative Specialist),10,1,0,State of Illinois, IL,3.7,0,58,10000+ Employees,1965,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.6,3.9,3.1,2.8,3.6,2023-06-03 22:50:36.264882,mo
"$85,000 /yr (est.)",85000.0,Instructional Systems Designer II (ISD II),3,1,0,KATMAI, FL,3.5,0,16,1001 to 5000 Employees,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),3.4,3.5,3.8,3.7,3.9,2023-06-03 22:50:39.027022,yr
"$81,472 /yr (est.)",81472.0,Sr. Game Designer,5,1,0,Esports Now LLC, FL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:50:41.507277,yr
"$137,298 /yr (est.)",137298.0,Senior Software Engineer,0,2,1,2K, CA,3.8,0,18,Unknown,2005,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.6,3.7,3.8,3.4,3.5,2023-06-03 22:50:47.059028,yr
"$70,960 /yr (est.)",70960.0,Full Stack Developer,3,1,1,Zehnder Communications, LA,4.1,0,27,51 to 200 Employees,1996,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 million (USD),3.5,3.4,3.9,3.6,3.9,2023-06-03 22:50:49.780135,yr
"$46,069 /yr (est.)",46069.0,Experiential Producer - Pharma,7,1,1,Impact XM, NV,3.4,0,50,201 to 500 Employees,1973,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.4,3.4,3.4,3.3,3.4,2023-06-03 22:50:52.173448,yr
$32.50 /hr (est.),67600.0,Sr. Copywriter for the Cosmetic Industry,3,1,1,Dr. J SkinClinic, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:50:54.822123,hr
"$66,717 /yr (est.)",66717.0,Sr. Level Designer (BHJOB22048_394),0,2,-1,ITmPowered, WA,4.5,0,13,1 to 50 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.0,4.2,4.3,4.3,4.3,2023-06-03 22:51:00.136811,yr
"$50,920 /yr (est.)",50920.0,Computer Based Training Specialist,3,1,1,KATMAI, FL,3.5,0,16,1001 to 5000 Employees,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),3.4,3.5,3.8,3.7,3.9,2023-06-03 22:51:10.872078,yr
"$112,500 /yr (est.)",112500.0,ICA Director of Marketing and Communications,0,1,1,Virginia Commonwealth University, VA,4.0,0,55,10000+ Employees,1968,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),3.8,3.5,4.0,3.4,3.9,2023-06-03 22:51:13.604116,yr
"$63,867 /yr (est.)",63867.0,JCITA Multimedia Programmer/Multimedia Specialist,5,1,1,BlueForce Inc., VA,3.5,0,20,201 to 500 Employees,2003,Company - Private,Business Consulting,Management & Consulting,$25 to $100 million (USD),3.7,3.9,3.7,3.8,3.7,2023-06-03 22:51:22.969014,yr
"$96,024 /yr (est.)",96024.0,Senior Planner,10,1,1,Jacobs, FL,4.0,0,76,10000+ Employees,1947,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$10+ billion (USD),3.9,3.6,4.1,3.7,3.9,2023-06-03 22:51:32.117584,yr
$36.05 /hr (est.),74984.0,"Distance Education Operations Specialist, DEN@Viterbi, USC Viterbi School of Engineering",3,2,1,USC, CA,4.3,0,143,10000+ Employees,1880,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.8,4.0,3.9,4.1,2023-06-03 22:51:35.172916,hr
"$57,419 /yr (est.)",57419.0,Instructional Systems Designer II (ISD II),3,1,0,KATMAI, FL,3.5,0,16,1001 to 5000 Employees,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),3.4,3.5,3.8,3.7,3.9,2023-06-03 22:51:41.634460,yr
"$143,877 /yr (est.)",143877.0,Senior VFX Engineer,5,1,1,Activision, CA,3.2,0,44,1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),3.1,3.1,3.2,3.0,3.0,2023-06-03 22:51:49.276316,yr
"$96,263 /yr (est.)",96263.0,SharePoint Developer,0,1,0,EdgeWorks, VA,3.0,0,-1,-1,-1,-1,-1,-1,-1,2.0,2.0,4.0,2.0,5.0,2023-06-03 22:52:12.341898,yr
