Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$65,000 /yr (est.)",65000.0,Finance and Accounting Analyst,3,1,-1,"Activate
4.4",United States,4.4,0,13,1 to 50 Employees,2010,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,4.3,4.2,4.4,4.2,3.5,2023-06-03 23:20:39.079899,yr
"$127,286 /yr (est.)",127286.0,Senior Competitive Intelligence Analyst,0,1,1,"Big Fish Games, Inc.
3.8", NV,3.8,0,21,201 to 500 Employees,2002,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$25 to $100 million (USD),3.7,3.7,4.1,3.6,4.5,2023-06-03 23:20:41.410999,yr
"$85,069 /yr (est.)",85069.0,Business Development Analyst,3,1,1,"Rhombus
4.0", CA,4.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.0,5.0,5.0,5.0,2023-06-03 23:20:46.106417,yr
"$56,777 /yr (est.)",56777.0,Customer Interaction Analyst,0,1,-1,"NICE
4.1", GA,4.1,0,37,5001 to 10000 Employees,1986,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),4.0,3.8,4.1,3.9,3.9,2023-06-03 23:20:49.270435,yr
"$117,500 /yr (est.)",117500.0,Software Engineer - Windows Content Development,5,1,-1,"CrowdStrike
4.2",Remote,4.2,1,12,1001 to 5000 Employees,2011,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),4.0,4.1,4.0,3.8,4.0,2023-06-03 23:20:51.665520,yr
"$75,632 /yr (est.)",75632.0,Corporate Planning Analyst,3,1,1,"Konami Gaming Inc
2.2", NV,2.2,0,26,201 to 500 Employees,1997,Company - Public,Machinery Manufacturing,Manufacturing,$25 to $100 million (USD),2.2,2.7,1.9,1.8,2.5,2023-06-03 23:20:57.051637,yr
"$90,000 /yr (est.)",90000.0,Senior Data Analyst,5,2,1,"TCGplayer
3.6",United States,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.4,4.0,2.9,3.5,2023-06-03 23:21:02.374071,yr
"$135,650 /yr (est.)",135650.0,Senior Pricing Analyst,10,1,1,"CommScope
3.7",Arizona,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.6,3.6,3.3,3.8,2023-06-03 23:21:05.575216,yr
"$71,999 /yr (est.)",71999.0,"Analyst, Finance",5,1,1,"Effectv
3.6", PA,3.6,0,20,1001 to 5000 Employees,2003,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),3.3,3.8,3.7,3.3,3.8,2023-06-03 23:21:08.563410,yr
"$122,500 /yr (est.)",122500.0,Senior Financial Analyst,4,1,1,"UJET
4.4", CA,4.4,0,8,51 to 200 Employees,2015,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,4.6,4.5,4.7,4.7,4.6,2023-06-03 23:21:11.035895,yr
"$74,580 /yr (est.)",74580.0,Senior Quality Assurance Analyst,0,1,1,"Intrepid Studios
4.6", CA,4.6,0,14,201 to 500 Employees,2009,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD),4.3,4.7,4.7,4.6,4.5,2023-06-03 23:21:13.331726,yr
"$6,727 /mo (est.)",80724.0,Environmental Programs Analyst I/II,11,1,0,"City of Santa Cruz, CA
3.4",United States,3.4,0,-1,-1,-1,-1,-1,-1,-1,2.9,3.3,3.8,3.1,3.7,2023-06-03 23:21:15.489343,mo
"$64,000 /yr (est.)",64000.0,"Data Analyst, Energy Transition, EDF+Business",0,1,1,"Environmental Defense Fund
3.9", MA,3.9,0,56,1001 to 5000 Employees,1967,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$100 to $500 million (USD),3.3,3.7,3.8,3.1,3.8,2023-06-03 23:21:22.340511,yr
"$76,317 /yr (est.)",76317.0,Tier 2 Network Security Analyst,5,1,1,"Masergy
3.8", TX,3.8,0,60,10000+ Employees,1963,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),3.6,3.9,3.7,3.4,3.6,2023-06-03 23:21:24.651328,yr
"$61,743 /yr (est.)",61743.0,Product Analyst,3,1,0,"PRADCO Outdoor Brands
3.9", AL,3.9,0,129,201 to 500 Employees,1894,Company - Private,Consumer Product Manufacturing,Manufacturing,Less than $1 million (USD),3.2,3.7,3.8,3.5,3.8,2023-06-03 23:21:26.810202,yr
"$65,000 /yr (est.)",65000.0,Market Research Analyst (Political and Corporate),2,1,0,"Benenson Strategy Group
2.7", NY,2.7,0,23,51 to 200 Employees,2000,Company - Public,Research & Development,Management & Consulting,$5 to $25 million (USD),3.1,2.7,2.8,2.8,2.3,2023-06-03 23:21:29.129429,yr
"$63,575 /yr (est.)",63575.0,P & L Analyst,2,2,1,"Global Partners
4.0", MA,4.0,0,90,1001 to 5000 Employees,1933,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),3.7,3.9,3.9,3.5,3.7,2023-06-03 23:21:34.872504,yr
"$237,500 /yr (est.)",237500.0,Senior Quantitative Analyst - Fixed Income Derivatives,0,1,1,"Hudson River Trading
4.1", NY,4.1,0,21,501 to 1000 Employees,2002,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,4.1,4.6,3.9,4.2,3.6,2023-06-03 23:21:37.226752,yr
"$75,000 /yr (est.)",75000.0,Senior Trading Analyst,3,1,-1,"Swish Analytics
5.0",United States,5.0,0,9,1 to 50 Employees,2014,Company - Private,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-06-03 23:21:43.159809,yr
"$98,000 /yr (est.)",98000.0,Strategy and Planning Analyst,0,2,-1,"Ropes & Gray
3.8", NY,3.8,0,158,1001 to 5000 Employees,1865,Private Practice / Firm,Law Firms,Legal,$1 to $5 billion (USD),3.8,4.1,3.5,3.5,2.9,2023-06-03 23:21:45.664535,yr
"$120,234 /yr (est.)",120234.0,Sr Principal Business Analyst,10,2,1,"Hasbro
3.7", RI,3.7,0,100,5001 to 10000 Employees,1923,Company - Public,Consumer Product Manufacturing,Manufacturing,$5 to $10 billion (USD),3.0,3.5,3.6,3.1,3.5,2023-06-03 23:21:48.106432,yr
"$132,367 /yr (est.)",132367.0,"Senior Data Analyst, Warcraft Arclight Rumble Analytics",4,1,1,"Blizzard Entertainment
3.6", CA,3.6,0,32,1001 to 5000 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.3,3.2,3.6,2.9,3.8,2023-06-03 23:21:53.640460,yr
"$70,000 /yr (est.)",70000.0,"Senior Analyst, Market Access",-1,-1,-1,"W2O Group
3.4",Remote,3.4,1,22,1001 to 5000 Employees,2001,Company - Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),3.5,3.7,3.3,3.1,3.0,2023-06-03 23:21:55.858150,yr
"$71,999 /yr (est.)",71999.0,Business Analyst - Finance,5,1,1,"Effectv
3.6", CO,3.6,0,20,1001 to 5000 Employees,2003,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),3.3,3.8,3.7,3.3,3.8,2023-06-03 23:21:58.553998,yr
"$71,999 /yr (est.)",71999.0,Business Analyst - Finance,5,1,1,"Effectv
3.6", CO,3.6,0,20,1001 to 5000 Employees,2003,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),3.3,3.8,3.7,3.3,3.8,2023-06-03 23:22:08.088285,yr
"$70,280 /yr (est.)",70280.0,Senior Market Research Analyst (Corporate),4,1,1,"Benenson Strategy Group
2.7", NY,2.7,0,23,51 to 200 Employees,2000,Company - Public,Research & Development,Management & Consulting,$5 to $25 million (USD),3.1,2.7,2.8,2.8,2.3,2023-06-03 23:22:10.625622,yr
"$134,875 /yr (est.)",134875.0,Senior Analyst,0,1,1,"Syneos Health Clinical
3.8",United States,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.6,3.5,3.8,3.5,3.8,2023-06-03 23:22:13.077514,yr
"$127,286 /yr (est.)",127286.0,Senior Competitive Intelligence Analyst,0,1,1,"Aristocrat
4.0", NV,4.0,0,70,5001 to 10000 Employees,1953,Company - Public,Gambling,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),3.8,4.0,4.1,3.8,4.1,2023-06-03 23:22:16.863055,yr
"$81,833 /yr (est.)",81833.0,"Senior Analyst, Capital Markets",3,1,0,"Janover Ventures
5.0", FL,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,4.6,5.0,5.0,5.0,2023-06-03 23:22:19.239681,yr
"$47,500 /yr (est.)",47500.0,Marketing Manager,3,1,0,Gratia,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 23:22:22.591282,yr
"$55,721 /yr (est.)",55721.0,Digital Marketing SEO Analyst,1,1,0,"WorkWave
3.8", NC,3.8,0,39,1001 to 5000 Employees,1984,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3.6,3.6,3.8,3.5,4.1,2023-06-03 23:22:27.714081,yr
"$212,500 /yr (est.)",212500.0,Quantitative Analyst - Credit Derivatives,0,1,1,"Hudson River Trading
4.1", NY,4.1,0,21,501 to 1000 Employees,2002,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,4.1,4.6,3.9,4.2,3.6,2023-06-03 23:22:30.406416,yr
"$112,000 /yr (est.)",112000.0,Operations Research Analyst,4,1,1,"Peraton
3.6", IL,3.6,0,6,10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),3.4,3.6,3.4,3.3,3.8,2023-06-03 23:22:33.703858,yr
"$91,153 /yr (est.)",91153.0,"Sr Analyst, Finance",7,1,1,"Effectv
3.6", PA,3.6,0,20,1001 to 5000 Employees,2003,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),3.3,3.8,3.7,3.3,3.8,2023-06-03 23:22:36.050288,yr
"$134,875 /yr (est.)",134875.0,Senior Analyst,0,1,1,"Syneos Health Commercial Solutions
3.9",United States,3.9,0,6,10000+ Employees,2017,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,3.7,3.5,3.8,3.5,3.8,2023-06-03 23:22:38.473014,yr
"$100,025 /yr (est.)",100025.0,Digital Product Marketing Sr. Analyst,5,1,-1,"PepsiCo
4.0", NY,4.0,0,58,10000+ Employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.9,3.9,3.6,3.5,2023-06-03 23:22:41.001256,yr
"$79,040 /yr (est.)",79040.0,"Compliance Analyst, iGaming",4,1,1,"BetMGM LLC
4.1", NJ,4.1,0,5,1001 to 5000 Employees,2018,Company - Private,Culture & Entertainment,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,4.0,4.3,4.4,4.1,3.9,2023-06-03 23:22:43.812033,yr
"$73,997 /yr (est.)",73997.0,Implementation Analyst (Banking),4,1,-1,"Orion Innovation
3.9", GA,3.9,0,30,5001 to 10000 Employees,1993,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.2,3.0,3.2,3.4,4.0,2023-06-03 23:22:50.373076,yr
"$62,763 /yr (est.)",62763.0,IT Security Analyst,0,1,1,"Idaho Central Credit Union
4.5", ID,4.5,0,83,1001 to 5000 Employees,1940,Nonprofit Organization,Banking & Lending,Financial Services,$25 to $100 million (USD),4.3,4.3,4.7,4.5,4.4,2023-06-03 23:22:53.083298,yr
"$105,000 /yr (est.)",105000.0,"Sr. Analyst, Stock Plan Administration",4,1,1,"Take-Two Interactive Software, Inc.
3.9", NY,3.9,0,30,1001 to 5000 Employees,1993,Company - Public,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.7,3.8,3.7,3.5,3.7,2023-06-03 23:22:55.895255,yr
"$70,011 /yr (est.)",70011.0,Financial Analyst,0,1,1,"Agua Caliente Casino • Resort • Spa
3.4", CA,3.4,0,28,1001 to 5000 Employees,1995,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,Unknown / Non-Applicable,3.4,3.7,3.5,3.1,3.1,2023-06-03 23:22:58.660673,yr
"$72,500 /yr (est.)",72500.0,"Sr. Analyst, Consulting & Valuation",-1,-1,-1,"Playfly Sports
4.7", IL,4.7,0,-1,-1,-1,-1,-1,-1,-1,5.0,4.0,4.7,4.7,4.4,2023-06-03 23:23:01.205867,yr
"$92,500 /yr (est.)",92500.0,"Sr. Analyst, Business Intelligence",3,1,1,"Warner Music Group
3.7", NY,3.7,0,20,1001 to 5000 Employees,2003,Company - Public,Broadcast Media,Media & Communication,$1 to $5 billion (USD),3.2,3.3,3.7,3.2,3.5,2023-06-03 23:23:04.274762,yr
"$96,547 /yr (est.)",96547.0,"Analyst, Financial Planning & Analysis",5,1,1,"Comcast
3.8", PA,3.8,0,60,10000+ Employees,1963,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),3.6,3.9,3.7,3.4,3.6,2023-06-03 23:23:07.083054,yr
"$70,000 /yr (est.)",70000.0,"Senior ESG Analyst, Power Sector",4,1,1,"Environmental Defense Fund
3.9",United States,3.9,0,56,1001 to 5000 Employees,1967,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$100 to $500 million (USD),3.3,3.7,3.8,3.1,3.8,2023-06-03 23:23:09.832022,yr
"$70,000 /yr (est.)",70000.0,Compensation Analyst,0,1,-1,"2U
3.4", DC,3.4,0,15,1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3.1,3.3,3.6,3.0,3.8,2023-06-03 23:23:12.924389,yr
"$76,900 /yr (est.)",76900.0,FINANCIAL ANALYST,8,1,1,"Sandia Resort And Casino
3.2", NM,3.2,0,43,1001 to 5000 Employees,1980,Government,Hotels & Resorts,Hotels & Travel Accommodation,$100 to $500 million (USD),3.0,3.9,3.0,2.6,2.4,2023-06-03 23:23:19.285471,yr
"$92,322 /yr (est.)",92322.0,Senior Compensation Analyst,4,1,0,"GameStop
2.9", TX,2.9,0,23,10000+ Employees,2000,Company - Public,Toy & Hobby Stores,Retail & Wholesale,$5 to $10 billion (USD),2.5,2.3,2.6,2.4,2.7,2023-06-03 23:23:22.279624,yr
"$132,500 /yr (est.)",132500.0,"Bloomberg Intelligence, Graphics Editor",0,2,1,"Bloomberg
4.1", NY,4.1,0,42,10000+ Employees,1981,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.9,4.0,4.2,3.6,4.0,2023-06-03 23:23:25.008617,yr
"$62,823 /yr (est.)",62823.0,Treasury Analyst,3,1,1,"Medpace, Inc.
3.3", OH,3.3,0,31,1001 to 5000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.3,2.9,3.1,2.9,3.1,2023-06-03 23:23:27.922451,yr
"$54,801 /yr (est.)",54801.0,B2B Marketing Analyst (Industrial Machinery),5,1,-1,"Cold Jet
4.2", OH,4.2,0,35,201 to 500 Employees,1988,Company - Private,Machinery Manufacturing,Manufacturing,$25 to $100 million (USD),4.2,3.8,4.3,4.0,4.5,2023-06-03 23:23:30.789033,yr
"$69,500 /yr (est.)",69500.0,Analysts,3,1,0,"The NorthBridge Group
4.5", MA,4.5,0,-1,-1,-1,-1,-1,-1,-1,3.7,4.2,4.5,3.9,5.0,2023-06-03 23:23:33.527964,yr
"$134,875 /yr (est.)",134875.0,Senior Analyst,0,1,1,"Syneos Health Clinical
3.8",United States,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.6,3.5,3.8,3.5,3.8,2023-06-03 23:23:44.391036,yr
"$134,875 /yr (est.)",134875.0,Senior Analyst,0,1,1,"Syneos Health Commercial Solutions
3.9",United States,3.9,0,6,10000+ Employees,2017,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,3.7,3.5,3.8,3.5,3.8,2023-06-03 23:23:48.131018,yr
"$72,500 /yr (est.)",72500.0,"Sr. Analyst, Consulting & Valuation",0,1,1,"Playfly Sports
4.7", IL,4.7,0,-1,-1,-1,-1,-1,-1,-1,5.0,4.0,4.7,4.7,4.4,2023-06-03 23:23:51.219227,yr
"$70,000 /yr (est.)",70000.0,"Senior ESG Analyst, Power Sector",4,1,1,"Environmental Defense Fund
3.9",United States,3.9,0,56,1001 to 5000 Employees,1967,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$100 to $500 million (USD),3.3,3.7,3.8,3.1,3.8,2023-06-03 23:23:55.011416,yr
"$76,900 /yr (est.)",76900.0,FINANCIAL ANALYST,-1,-1,-1,"Sandia Resort And Casino
3.2", NM,3.2,0,43,1001 to 5000 Employees,1980,Government,Hotels & Resorts,Hotels & Travel Accommodation,$100 to $500 million (USD),3.0,3.9,3.0,2.6,2.4,2023-06-03 23:23:57.828646,yr
"$92,322 /yr (est.)",92322.0,Senior Compensation Analyst,4,1,0,"GameStop
2.9", TX,2.9,0,23,10000+ Employees,2000,Company - Public,Toy & Hobby Stores,Retail & Wholesale,$5 to $10 billion (USD),2.5,2.3,2.6,2.4,2.7,2023-06-03 23:24:00.033498,yr
"$54,801 /yr (est.)",54801.0,B2B Marketing Analyst (Industrial Machinery),5,1,-1,"Cold Jet
4.2", OH,4.2,0,35,201 to 500 Employees,1988,Company - Private,Machinery Manufacturing,Manufacturing,$25 to $100 million (USD),4.2,3.8,4.3,4.0,4.5,2023-06-03 23:24:02.885476,yr
"$69,500 /yr (est.)",69500.0,Analysts,3,1,0,"The NorthBridge Group
4.5", MA,4.5,0,-1,-1,-1,-1,-1,-1,-1,3.7,4.2,4.5,3.9,5.0,2023-06-03 23:24:05.730674,yr
"$90,000 /yr (est.)",90000.0,Market Research and Analytics Senior Manager,5,1,1,"TUSHY
4.0", NY,4.0,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.3,3.7,3.7,4.3,2023-06-03 23:24:09.235056,yr
"$56,972 /yr (est.)",56972.0,Customer Interaction Analyst,0,1,-1,"NICE Systems
4.3", GA,4.3,0,37,5001 to 10000 Employees,1986,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),4.2,3.9,4.3,4.0,4.0,2023-06-03 23:24:12.963969,yr
"$65,342 /yr (est.)",65342.0,Exchange Connectivity Analyst,0,1,-1,"Hudson River Trading
4.1", IL,4.1,0,21,501 to 1000 Employees,2002,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,4.1,4.6,3.9,4.2,3.6,2023-06-03 23:24:16.157022,yr
"$94,575 /yr (est.)",94575.0,Senior Strategy and Planning Analyst,0,2,-1,"Ropes & Gray
3.8", MA,3.8,0,158,1001 to 5000 Employees,1865,Private Practice / Firm,Law Firms,Legal,$1 to $5 billion (USD),3.8,4.1,3.5,3.5,2.9,2023-06-03 23:24:26.288335,yr
"$102,321 /yr (est.)",102321.0,Senior Operations Analyst-Space and Missile Systems,0,1,1,"Galapagos Federal Systems, LLC
5.0", CA,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.7,5.0,5.0,5.0,5.0,2023-06-03 23:24:29.431577,yr
"$72,018 /yr (est.)",72018.0,Category Analyst,0,1,-1,"Ruby Robinson Co. Inc.
5.0", IL,5.0,0,57,1 to 50 Employees,1966,Company - Private,Crop Production,Agriculture,$100 to $500 million (USD),5.0,5.0,5.0,5.0,4.7,2023-06-03 23:24:33.176056,yr
"$150,000 /yr (est.)",150000.0,Senior S&OP Analyst,5,1,1,"Energy Recovery
3.6", CA,3.6,0,31,201 to 500 Employees,1992,Company - Public,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD),3.5,3.8,3.5,3.1,3.4,2023-06-03 23:24:36.207661,yr
"$96,802 /yr (est.)",96802.0,"Production Associate, Capital Markets",3,1,0,"JLL
3.9", CA,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.5,3.8,3.5,3.7,2023-06-03 23:24:39.023122,yr
"$57,846 /yr (est.)",57846.0,Sales Analyst,0,1,-1,"Refresco Group
3.1", FL,3.1,0,23,10000+ Employees,2000,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,2.8,3.2,2.9,2.8,2.7,2023-06-03 23:24:42.873617,yr
