Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$144,900 /yr (est.)",144900.0,Site Reliability Engineer,0,1,1,"BlackLine
3.6",Remote,3.6,1,22,1001 to 5000 Employees,2001,Company - Public,Software Development,Information Technology,$500 million to $1 billion (USD),3.4,4.0,3.7,3.3,3.9,2023-06-03 20:28:41.438234,yr
"$82,537 /yr (est.)",82537.0,Software Developer,5,1,1,"FatPipe Technologies
3.7", UT,3.7,0,25,51 to 200 Employees,1998,Company - Private,Consumer Product Manufacturing,Manufacturing,$5 to $25 million (USD),3.6,3.4,3.4,3.2,3.9,2023-06-03 20:28:43.950714,yr
"$103,840 /yr (est.)",103840.0,PeopleSoft Technical Lead,0,1,0,"University of Delaware
4.3", DE,4.3,0,280,1001 to 5000 Employees,1743,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),4.0,3.8,4.2,3.8,4.0,2023-06-03 20:28:46.078551,yr
"$104,704 /yr (est.)",104704.0,SENIOR ORACLE DATABASE CONSULTANT DEVELOPER,-1,-1,-1,"TechnoCrafts
4.1", VA,4.1,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.5,3.8,4.2,4.0,2023-06-03 20:28:54.529827,yr
"$60,000 /yr (est.)",60000.0,Programmer / Analyst,-1,-1,-1,-1, IL,1.7,0,69,51 to 200 Employees,1954,Company - Private,Banking & Lending,Financial Services,$25 to $100 million (USD),1.6,2.5,1.8,1.7,1.5,2023-06-03 20:28:57.355682,yr
"$90,835 /yr (est.)",90835.0,Software Engineer,-1,-1,-1,"Tire Guru
4.3", UT,4.3,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.1,4.5,4.3,4.8,2023-06-03 20:29:01.866237,yr
"$89,855 /yr (est.)",89855.0,Sr PeopleSoft Application Programmer,3,1,0,"University of Delaware
4.3", DE,4.3,0,280,1001 to 5000 Employees,1743,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),4.0,3.8,4.2,3.8,4.0,2023-06-03 20:29:04.672422,yr
"$120,000 /yr (est.)",120000.0,Software Engineer III,4,1,1,"Bectran
4.6", IL,4.6,0,13,51 to 200 Employees,2010,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),4.6,4.5,4.5,4.5,4.5,2023-06-03 20:29:07.571446,yr
"$94,838 /yr (est.)",94838.0,Senior Quality Assurance Engineer (Automation),-1,-1,-1,"Assurety Consulting
3.9", DC,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.4,3.5,4.0,3.6,3.7,2023-06-03 20:29:10.508671,yr
"$115,064 /yr (est.)",115064.0,Senior Oracle E-Business Suite (eBS) Techno Functional Developer,10,1,1,"Fermilab
4.3", IL,4.3,0,-1,-1,-1,-1,-1,-1,-1,4.1,4.0,4.2,3.6,4.4,2023-06-03 20:29:13.238905,yr
$47.90 /hr (est.),99632.0,Sr. Software Engineer,-1,-1,-1,"University of California - Irvine
4.3", CA,4.3,0,58,10000+ Employees,1965,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),4.1,3.6,4.2,3.9,4.1,2023-06-03 20:29:16.539429,hr
"$130,000 /yr (est.)",130000.0,Senior Test Automation Engineer,5,1,1,"Billtrust US Careers
3.3", CO,3.3,0,22,501 to 1000 Employees,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.2,3.4,3.0,3.5,2023-06-03 20:29:18.849573,yr
"$102,036 /yr (est.)",102036.0,DSHS TIA IT Application Development Senior Specialist,9,1,0,"State of Washington Dept. of Social and Health Services
3.5",Washington State,3.5,0,134,10000+ Employees,1889,Government,State & Regional Agencies,Government & Public Administration,$10+ billion (USD),3.6,3.5,3.5,3.1,3.5,2023-06-03 20:29:21.424803,yr
"$180,000 /yr (est.)",180000.0,Director of Software Engineering,7,1,1,"Bectran
4.6", IL,4.6,0,13,51 to 200 Employees,2010,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),4.6,4.5,4.5,4.5,4.5,2023-06-03 20:29:23.665254,yr
"$107,150 /yr (est.)",107150.0,Senior Software Engineer (Fed),5,1,1,"Finvi (formerly Ontario Systems)
3.1",Remote,3.1,1,43,201 to 500 Employees,1980,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3.0,2.9,3.1,2.9,3.5,2023-06-03 20:29:32.636383,yr
"$85,627 /yr (est.)",85627.0,Full-Time EDP Systems Analyst III: Programmer/Analyst,4,1,0,"Northern Essex Community College
3.0", MA,3.0,0,24,501 to 1000 Employees,1999,College / University,Colleges & Universities,Education,$25 to $100 million (USD),2.6,2.8,3.0,2.2,3.6,2023-06-03 20:29:34.981279,yr
"$160,150 /yr (est.)",160150.0,Senior Software Engineer - Elixir,8,1,1,"BILL
3.9", CA,3.9,0,17,1001 to 5000 Employees,2006,Company - Public,Financial Transaction Processing,Financial Services,$500 million to $1 billion (USD),3.8,3.8,4.0,3.6,4.1,2023-06-03 20:29:37.155649,yr
"$91,358 /yr (est.)",91358.0,PeopleSoft Software Engineer-Open until Filled,8,1,-1,"Salt Lake County
4.1", UT,4.1,0,173,1001 to 5000 Employees,1850,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,3.2,2.9,3.4,3.1,4.2,2023-06-03 20:29:39.717668,yr
"$142,500 /yr (est.)",142500.0,Engineering Manager - Integrations,8,2,1,"Taulia
4.7", UT,4.7,0,14,201 to 500 Employees,2009,Company - Private,Financial Transaction Processing,Financial Services,$25 to $100 million (USD),4.2,4.1,4.7,4.5,4.6,2023-06-03 20:29:42.103828,yr
"$149,014 /yr (est.)",149014.0,Director of Software Engineering,7,1,1,"Bectran Inc
4.6", IL,4.6,0,13,51 to 200 Employees,2010,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),4.6,4.5,4.5,4.5,4.5,2023-06-03 20:29:47.850928,yr
"$113,241 /yr (est.)",113241.0,Software Engineer-Oracle Applications,5,1,1,"Millennium Software Consulting
3.6", VA,3.6,0,-1,-1,-1,-1,-1,-1,-1,2.4,2.4,2.9,2.9,2.9,2023-06-03 20:29:50.270601,yr
"$110,119 /yr (est.)",110119.0,Oracle Financial Systems Consultant,10,1,1,Trilok Software Solutions LLC, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:29:53.517119,yr
"$107,057 /yr (est.)",107057.0,Sr. Software Engineer,5,1,-1,"Millennium Software Consulting
3.6", VA,3.6,0,-1,-1,-1,-1,-1,-1,-1,2.4,2.4,2.9,2.9,2.9,2023-06-03 20:29:58.754791,yr
